wavelength,reflectivity
320.0,0.2845
321.0,0.2829
322.0,0.283
323.0,0.2849
324.0,0.2883
325.0,0.2893
326.0,0.2901
327.0,0.2914
328.0,0.2944
329.0,0.2977
330.0,0.3013
331.0,0.3055
332.0,0.3081
333.0,0.3097
334.0,0.3124
335.0,0.3172
336.0,0.3213
337.0,0.3228
338.0,0.3236
339.0,0.3259
340.0,0.3284
341.0,0.3304
342.0,0.3316
343.0,0.3333
344.0,0.3355
345.0,0.3393
346.0,0.3436
347.0,0.3479
348.0,0.3505
349.0,0.3509
350.0,0.3528
351.0,0.3579
352.0,0.3625
353.0,0.3628
354.0,0.3607
355.0,0.3624
356.0,0.3681
357.0,0.3734
358.0,0.3754
359.0,0.3769
360.0,0.3795
361.0,0.381
362.0,0.3799
363.0,0.3804
364.0,0.3817
365.0,0.3835
366.0,0.3853
367.0,0.3888
368.0,0.3931
369.0,0.3968
370.0,0.3999
371.0,0.4032
372.0,0.4062
373.0,0.4105
374.0,0.4134
375.0,0.4144
376.0,0.4134
377.0,0.4137
378.0,0.4156
379.0,0.4172
380.0,0.4202
381.0,0.4262
382.0,0.4324
383.0,0.4354
384.0,0.4351
385.0,0.4359
386.0,0.4381
387.0,0.4404
388.0,0.4424
389.0,0.4428
390.0,0.4425
391.0,0.4454
392.0,0.4551
393.0,0.4622
394.0,0.4623
395.0,0.4621
396.0,0.4666
397.0,0.4692
398.0,0.4667
399.0,0.4639
400.0,0.4654
401.0,0.4665
402.0,0.4681
403.0,0.4709
404.0,0.4752
405.0,0.4777
406.0,0.4804
407.0,0.4837
408.0,0.4881
409.0,0.4917
410.0,0.4935
411.0,0.4952
412.0,0.4967
413.0,0.4994
414.0,0.5029
415.0,0.5067
416.0,0.5098
417.0,0.5125
418.0,0.5152
419.0,0.518
420.0,0.521
421.0,0.5235
422.0,0.526
423.0,0.5296
424.0,0.5328
425.0,0.535
426.0,0.5362
427.0,0.5382
428.0,0.5408
429.0,0.5456
430.0,0.5494
431.0,0.5511
432.0,0.5508
433.0,0.5514
434.0,0.5528
435.0,0.5542
436.0,0.5561
437.0,0.5583
438.0,0.5603
439.0,0.5614
440.0,0.5634
441.0,0.5652
442.0,0.5666
443.0,0.5667
444.0,0.5682
445.0,0.5716
446.0,0.5748
447.0,0.5777
448.0,0.5799
449.0,0.5827
450.0,0.5846
451.0,0.5854
452.0,0.5864
453.0,0.5882
454.0,0.5904
455.0,0.5913
456.0,0.5914
457.0,0.5922
458.0,0.5938
459.0,0.5954
460.0,0.5976
461.0,0.6007
462.0,0.6041
463.0,0.6068
464.0,0.6081
465.0,0.6099
466.0,0.6117
467.0,0.6126
468.0,0.6134
469.0,0.6144
470.0,0.6165
471.0,0.6184
472.0,0.6204
473.0,0.6209
474.0,0.6207
475.0,0.6216
476.0,0.6233
477.0,0.6241
478.0,0.6243
479.0,0.6253
480.0,0.6265
481.0,0.6269
482.0,0.6275
483.0,0.627
484.0,0.6248
485.0,0.6252
486.0,0.6294
487.0,0.6347
488.0,0.6368
489.0,0.6364
490.0,0.6367
491.0,0.6385
492.0,0.6409
493.0,0.6424
494.0,0.6441
495.0,0.646
496.0,0.6484
497.0,0.6498
498.0,0.6499
499.0,0.6494
500.0,0.6496
501.0,0.6508
502.0,0.6526
503.0,0.6542
504.0,0.6546
505.0,0.6543
506.0,0.6537
507.0,0.6541
508.0,0.6538
509.0,0.653
510.0,0.6535
511.0,0.6552
512.0,0.6583
513.0,0.6616
514.0,0.6641
515.0,0.6664
516.0,0.668
517.0,0.6682
518.0,0.6661
519.0,0.663
520.0,0.6634
521.0,0.6659
522.0,0.667
523.0,0.6663
524.0,0.6666
525.0,0.6686
526.0,0.6702
527.0,0.6706
528.0,0.6712
529.0,0.6713
530.0,0.6714
531.0,0.6728
532.0,0.6748
533.0,0.6745
534.0,0.6724
535.0,0.6698
536.0,0.6677
537.0,0.6646
538.0,0.661
539.0,0.6567
540.0,0.6508
541.0,0.6442
542.0,0.6402
543.0,0.6406
544.0,0.6481
545.0,0.6597
546.0,0.6725
547.0,0.6794
548.0,0.6783
549.0,0.6725
550.0,0.6687
551.0,0.6681
552.0,0.6689
553.0,0.6709
554.0,0.6771
555.0,0.6841
556.0,0.6891
557.0,0.6907
558.0,0.6936
559.0,0.6963
560.0,0.698
561.0,0.6979
562.0,0.6982
563.0,0.701
564.0,0.7031
565.0,0.7041
566.0,0.7013
567.0,0.698
568.0,0.6962
569.0,0.6966
570.0,0.6972
571.0,0.6978
572.0,0.6974
573.0,0.695
574.0,0.6906
575.0,0.688
576.0,0.6897
577.0,0.6933
578.0,0.697
579.0,0.6996
580.0,0.7023
581.0,0.7053
582.0,0.7075
583.0,0.7079
584.0,0.7077
585.0,0.7078
586.0,0.706
587.0,0.7015
588.0,0.6963
589.0,0.694
590.0,0.6943
591.0,0.694
592.0,0.6936
593.0,0.6925
594.0,0.692
595.0,0.6926
596.0,0.6939
597.0,0.6951
598.0,0.6952
599.0,0.6959
600.0,0.6973
601.0,0.6973
602.0,0.6962
603.0,0.6958
604.0,0.6958
605.0,0.6931
606.0,0.6897
607.0,0.6893
608.0,0.6908
609.0,0.6908
610.0,0.6888
611.0,0.6758
612.0,0.6574
613.0,0.6378
614.0,0.6173
615.0,0.6013
616.0,0.5824
617.0,0.5653
618.0,0.5604
619.0,0.5617
620.0,0.5736
621.0,0.5905
622.0,0.6122
623.0,0.6336
624.0,0.6507
625.0,0.6688
626.0,0.6767
627.0,0.6795
628.0,0.6859
629.0,0.6958
630.0,0.6988
631.0,0.6998
